#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
1.5094	4.920	0.075
1.5110	4.718	0.074
1.5126	4.756	0.074
1.5142	4.768	0.074
1.5158	4.482	0.072
1.5174	4.607	0.072
1.5190	4.465	0.072
1.5206	4.466	0.071
1.5222	4.331	0.071
1.5238	4.565	0.073
1.5254	4.621	0.073
1.5270	4.777	0.075
1.5286	4.905	0.075
1.5302	4.836	0.075
1.5318	4.780	0.074
1.5334	4.933	0.075
1.5350	4.915	0.076
1.5366	5.009	0.075
1.5382	5.004	0.076
1.5398	5.009	0.076
1.5413	5.012	0.076
1.5429	5.119	0.077
1.5445	4.991	0.075
1.5461	4.936	0.076
1.5477	5.005	0.076
1.5493	5.109	0.077
1.5509	5.022	0.077
1.5525	5.039	0.076
1.5541	5.006	0.077
1.5557	5.138	0.077
1.5573	5.032	0.076
1.5589	5.089	0.077
1.5605	4.995	0.076
1.5621	5.086	0.077
1.5637	5.129	0.077
1.5653	5.136	0.077
1.5669	5.210	0.078
1.5685	5.180	0.078
